Object;Year;Month;Day;Hours;Minutes;Distance (LD);Velocity (km/s);Impact Probability;Hazard Scale;Danger;Diameter;Id;Range
(2014 CR13)          ; 2014;Feb; 09;6;10;2.2;12.2;9.10E-05;-4.8;0;31;;3                                                                                                                                                                                                                                                              
(2014 DK10)          ; 2014;Feb; 21;11;27;0.7;12;1.20E-07;-8.7;0;12.3;;3                                                                                                                                                                                                                                                              
(2014 EU)            ; 2014;Mar; 01;7;59;2.1;5.8;1.60E-05;-6.6;0;12.3;;3                                                                                                                                                                                                                                                              
(2014 FE)            ; 2014;Mar; 17;15;49;1.1;19.9;1.60E-06;-7.3;0;15.1;;3                                                                                                                                                                                                                                                              
(2014 FX32)          ; 2014;Mar; 08;21;39;5.9;8.7;1.10E-06;-6.2;1;43;;3                                                                                                                                                                                                                                                              
(2014 GN1)           ; 2014;Apr; 06;10;25;2.4;20.7;2.10E-05;-4.2;1;51.5;;3                                                                                                                                                                                                                                                              
(2014 GQ17)          ; 2014;Apr; 03;23;19;1.9;5.4;5.20E-05;-6.3;0;16.5;;3                                                                                                                                                                                                                                                              
(2014 GY44)          ; 2014;Mar; 30;0;27;0.4;12.5;1.70E-06;-6.3;1;35.5;;3                                                                                                                                                                                                                                                              
(2014 HB177)         ; 2014;May; 06;7;29;1.3;6.3;1.70E-06;-7.7;0;10.2;;3                                                                                                                                                                                                                                                              
(2014 HC196)         ; 2014;Mar; 16;22;19;41.3;6.5;0.2     ;-10.1;1;35.5;;3                                                                                                                                                                                                                                                              
(2014 HD198)         ; 2014;Apr; 30;19;57;1.8;17;8.00E-06;-6.2;0;5;;3                                                                                                                                                                                                                                                              
(2014 HE199)         ; 2014;Apr; 02;23;47;11.9;12;2.40E-08;-7.2;1;39;;3                                                                                                                                                                                                                                                              
(2014 HJ197)         ; 2014;Apr; 14;2;53;1.3;4.8;1.90E-05;-7.8;0;3.9;;3                                                                                                                                                                                                                                                              
(2014 HJ198)         ; 2014;Apr; 20;18;8;3.3;21.4;6.80E-07;-7.7;0;19;;3                                                                                                                                                                                                                                                              
(2014 HK197)         ; 2014;May; 07;18;9;10.4;15.8;4.40E-09;-9.6;0;18;;3                                                                                                                                                                                                                                                              
(2014 HM198)         ; 2014;Apr; 11;20;30;11.1;8;1.30E-08;-9.1;0;13.7;;3                                                                                                                                                                                                                                                              
(2014 HN199)         ; 2014;May; 05;3;0;7.8;16.7;1.50E-08;-8.8;0;19.5;;3                                                                                                                                                                                                                                                              
(2014 HN2)           ; 2014;Apr; 09;1;28;8.4;2.2;9.80E-09;-9.2;0;21.5;;3                                                                                                                                                                                                                                                              
(2014 HR197)         ; 2014;May; 04;14;11;8.1;17.1;8.30E-08;-7.4;0;16.5;;3                                                                                                                                                                                                                                                              
(2014 HS197)         ; 2014;Apr; 20;15;36;2.9;17.3;3.70E-07;-8.4;0;5.7;;3                                                                                                                                                                                                                                                              
(2014 HT197)         ; 2014;May; 04;4;1;6;13.6;1.20E-07;-8.8;0;8.1;;3                                                                                                                                                                                                                                                              
(2014 HV2)           ; 2014;Apr; 29;8;29;1.4;13;1.20E-07;-7.6;0;28.5;;3                                                                                                                                                                                                                                                              
(2014 HY198)         ; 2014;May; 05;10;20;2;6.4;4.40E-05;-7.4;0;5;;3                                                                                                                                                                                                                                                              
(2014 JR24)          ; 2014;Dec; 14;3;53;73.9;4.2;0.0012  ;-5.3;0;6;;3                                                                                                                                                                                                                                                              
(2014 JR24)          ; 2014;May; 07;10;45;0.3;4.6;0.0012  ;-5.3;0;6;;3                                                                                                                                                                                                                                                              
(2014 JU15)          ; 2014;Apr; 28;21;50;1.2;10.4;5.60E-05;-5.2;1;47;;3                                                                                                                                                                                                                                                              
(2014 JV79)          ; 2014;May; 22;4;2;39.4;8.9;2.90E-07;-7;0;35.5;;3                                                                                                                                                                                                                                                              
(2014 KC45)          ; 2014;May; 28;8;10;0.2;9.4;1.20E-05;-7.7;0;6;;3                                                                                                                                                                                                                                                              
(2014 KS76)          ; 2014;May; 18;5;33;2.3;7.4;4.40E-07;-7.6;0;20.5;;3                                                                                                                                                                                                                                                              
(2014 KW76)          ; 2014;May; 26;23;29;0.9;15.1;2.70E-07;-8.2;0;11.5;;3                                                                                                                                                                                                                                                              
(2014 LJ)            ; 2014;May; 24;5;2;3.4;3.9;1.50E-05;-7.8;0;8.7;;3                                                                                                                                                                                                                                                              
(2014 LY21)          ; 2014;Jun; 03;17;38;0.1;13.3;9.10E-05;-5.7;0;6.5;;3                                                                                                                                                                                                                                                              
(2014 MA68)          ; 2014;Jun; 13;7;18;4.1;5.9;1.70E-05;-6;0;28;;3                                                                                                                                                                                                                                                              
(2014 MB6)           ; 2014;Jun; 16;2;12;4.6;9.9;8.10E-07;-6.7;0;24.5;;3                                                                                                                                                                                                                                                              
(2014 ML67)          ; 2014;Jul; 05;1;31;18.3;20.9;4.30E-07;-5.3;1;65;;3                                                                                                                                                                                                                                                              
(2014 MO68)          ; 2014;Jul; 17;10;43;31;14.1;7.50E-07;-6.5;1;94;;3                                                                                                                                                                                                                                                              
(2014 OM207)         ; 2014;Jul; 25;6;39;0.7;8.4;0.00023 ;-6;0;6.5;;3                                                                                                                                                                                                                                                              
(2014 OP2)           ; 2014;Jul; 24;8;35;0.5;11.7;1.80E-06;-7.9;0;6.5;;3                                                                                                                                                                                                                                                              
(2014 OX3)           ; 2014;Jul; 21;19;42;2.3;12.7;1.40E-05;-6.5;0;11.7;;3                                                                                                                                                                                                                                                              
(2014 OY391)         ; 2014;Jul; 15;9;5;4.3;13.9;3.40E-07;-6.7;0;27.5;;3                                                                                                                                                                                                                                                              
(2014 QC391)         ; 2014;Sep; 04;21;11;2.4;7.8;5.60E-05;-6.2;0;14.4;;3                                                                                                                                                                                                                                                              
(2014 QF33)          ; 2014;Aug; 13;11;0;36.5;20.6;1.40E-07;-6.1;1;79;;3                                                                                                                                                                                                                                                              
(2014 QJ365)         ; 2014;Aug; 25;22;41;2.6;12.2;1.50E-07;-8.3;0;13.7;;3                                                                                                                                                                                                                                                              
(2014 QN266)         ; 2014;Jul; 16;6;20;11.8;2.1;2.00E-06;-6.7;0;24;;3                                                                                                                                                                                                                                                              
(2014 QN266)         ; 2014;Jan; 09;22;31;52.2;3;2.00E-06;-6.7;0;24;;3                                                                                                                                                                                                                                                              
(2014 SR223)         ; 2014;Sep; 21;22;44;5.3;14.3;1.60E-06;-6.5;0;19;;3                                                                                                                                                                                                                                                              
(2014 SR261)         ; 2014;Sep; 18;17;56;1.9;15.4;4.60E-06;-6.1;0;19.5;;3                                                                                                                                                                                                                                                              
(2014 TL)            ; 2014;Oct; 01;15;59;0.3;11.1;6.30E-06;-7;0;11.7;;3                                                                                                                                                                                                                                                              
(2014 UD57)          ; 2014;Oct; 23;2;51;4.2;9.1;2.90E-05;-5.3;0;29.5;;3                                                                                                                                                                                                                                                              
(2014 UX34)          ; 2014;Oct; 18;8;55;11.5;25.4;1.30E-08;-6.4;2;158.5;;3                                                                                                                                                                                                                                                              
(2014 UY57)          ; 2014;Oct; 20;2;14;7.6;9.1;6.00E-08;-8.6;0;15.8;;3                                                                                                                                                                                                                                                              
(2014 WA)            ; 2014;Nov; 17;10;27;1.9;9.4;1.80E-05;-6.2;0;10.1;;3                                                                                                                                                                                                                                                              
(2014 WA201)         ; 2014;Nov; 16;16;14;6;12;0.0002  ;-4.7;0;18;;3                                                                                                                                                                                                                                                              
(2014 WE6)           ; 2014;Nov; 13;18;6;0.6;4.8;4.70E-05;-7.6;0;3.5;;3                                                                                                                                                                                                                                                              
(2014 WU200)         ; 2014;Dec; 10;16;31;1.2;2.2;4.80E-06;-7.9;0;6.5;;3                                                                                                                                                                                                                                                              
(2014 WZ365)         ; 2014;Dec; 07;4;19;22.8;9.4;0.28    ;-9.7;0;27.5;;3                                                                                                                                                                                                                                                              
(2014 YN)            ; 2014;Dec; 18;8;20;10.6;2.8;5.30E-05;-5.8;0;31;;3                                                                                                                                                                                                                                                              
(2015 PS228)         ; 2014;Dec; 08;13;0;48.7;3;1.40E-06;-8.2;0;7.3;;3                                                                                                                                                                                                                                                              
(2015 PS228)         ; 2014;Feb; 27;19;58;52.6;6.6;1.40E-06;-8.2;0;7.3;;3                                                                                                                                                                                                                                                              
(2015 VK1)           ; 2014;Nov; 05;17;7;64.9;19.5;7.70E-07;-7.1;0;20.5;;3                                                                                                                                                                                                                                                              
(2015 XH55)          ; 2014;Aug; 01;8;0;72.4;6.1;8.20E-07;-8.6;0;6;;3                                                                                                                                                                                                                                                              
(2015 YM1)           ; 2014;Aug; 28;16;26;73.6;6.1;6.90E-06;-7.2;0;8.8;;3                                                                                                                                                                                                                                                              
(2016 CH30)          ; 2014;Oct; 14;14;2;65.2;10.6;7.10E-06;-7;0;10.8;;3                                                                                                                                                                                                                                                              
(2016 FV13)          ; 2014;Apr; 04;8;50;27.7;13.1;2.50E-05;-5.3;0;29.5;;3                                                                                                                                                                                                                                                              
(2016 JA6)           ; 2014;Oct; 31;7;48;62.9;15.1;2.70E-06;-6.5;0;24;;3                                                                                                                                                                                                                                                              
(2016 TH)            ; 2014;Sep; 28;18;38;53.4;11.5;9.30E-06;-7.6;0;5.7;;3                                                                                                                                                                                                                                                              
(2016 VB1)           ; 2014;Oct; 14;18;32;14.2;6.6;0.0011  ;-5.6;0;8.1;;3                                                                                                                                                                                                                                                              
(2016 WU)            ; 2014;May; 10;1;42;73.7;12;2.60E-06;-7.1;0;15.1;;3                                                                                                                                                                                                                                                              
(2017 FW90)          ; 2014;Sep; 22;23;40;60.5;8.6;7.40E-06;-7.4;0;10.1;;3                                                                                                                                                                                                                                                              
410777 (2009 FD)     ; 2014;Apr; 01;9;10;39.3;12.9;0.0016  ;-1.8;2;165;;3                                                                                                                                                                                                                                                              
(2005 VN5)           ; 2015;Jul; 07;16;54;12.7;6.9;5.00E-05;-5.9;0;17.5;;3                                                                                                                                                                                                                                                              
(2007 EV)            ; 2015;Mar; 10;8;0;49.2;14.2;8.80E-06;-5.8;1;43;;3                                                                                                                                                                                                                                                              
(2013 RZ53)          ; 2015;Dec; 04;15;33;30.5;2.7;1.40E-05;-8.7;0;2.6;;3                                                                                                                                                                                                                                                              
(2013 RZ53)          ; 2015;Feb; 25;18;11;11.3;1.3;1.40E-05;-8.7;0;2.6;;3                                                                                                                                                                                                                                                              
(2014 KS76)          ; 2015;Sep; 14;22;12;8.7;7.6;4.40E-07;-7.6;0;20.5;;3                                                                                                                                                                                                                                                              
(2014 WE6)           ; 2015;Aug; 13;10;3;67.4;5.2;4.70E-05;-7.6;0;3.5;;3                                                                                                                                                                                                                                                              
(2014 WU200)         ; 2015;Jul; 10;21;18;30.9;1.9;4.80E-06;-7.9;0;6.5;;3                                                                                                                                                                                                                                                              
(2014 XM7)           ; 2015;Jan; 11;17;44;33;10.3;3.80E-08;-6.7;1;115;;3                                                                                                                                                                                                                                                              
(2014 YP44)          ; 2015;Jan; 13;9;19;16.1;3.2;0.38    ;-10.7;0;26;;3                                                                                                                                                                                                                                                              
(2015 BE511)         ; 2015;Jan; 20;13;6;0.4;9.5;5.10E-05;-6.3;0;8.1;;3                                                                                                                                                                                                                                                              
(2015 BW516)         ; 2015;Jan; 30;17;9;3.6;11.3;2.20E-05;-5.9;0;14.4;;3                                                                                                                                                                                                                                                              
(2015 BY3)           ; 2015;Jan; 12;1;15;1.4;16.5;8.00E-07;-7.5;0;13.7;;3                                                                                                                                                                                                                                                              
(2015 CL13)          ; 2015;Feb; 15;22;52;2;13.6;6.50E-07;-7;0;31;;3                                                                                                                                                                                                                                                              
(2015 DA54)          ; 2015;Jan; 22;10;21;27.1;23.4;2.60E-08;-5.5;1;295;;3                                                                                                                                                                                                                                                              
(2015 DD54)          ; 2015;Feb; 21;18;4;7.2;7.2;6.10E-06;-6;0;35.5;;3                                                                                                                                                                                                                                                              
(2015 DQ224)         ; 2015;Feb; 18;1;21;0.3;15;8.30E-05;-6.7;0;6;;3                                                                                                                                                                                                                                                              
(2015 EG)            ; 2015;Mar; 05;3;21;4.4;9.2;1.30E-07;-7.6;0;31;;3                                                                                                                                                                                                                                                              
(2015 EG7)           ; 2015;Mar; 20;21;27;2.7;13.1;5.70E-06;-6.6;0;14.4;;3                                                                                                                                                                                                                                                              
(2015 EO)            ; 2015;Mar; 15;14;10;2.8;14.2;7.00E-06;-6.2;0;19;;3                                                                                                                                                                                                                                                              
(2015 ET)            ; 2015;Mar; 10;16;42;0.3;12.4;8.90E-06;-6.5;0;19.5;;3                                                                                                                                                                                                                                                              
(2015 FC345)         ; 2015;Mar; 31;16;7;2.1;6.6;8.50E-07;-7.8;0;11.7;;3                                                                                                                                                                                                                                                              
(2015 FF36)          ; 2015;Mar; 28;6;16;3.5;8.8;9.50E-07;-7.2;0;20.5;;3                                                                                                                                                                                                                                                              
(2015 FN36)          ; 2015;Mar; 16;16;13;13.2;22.8;2.30E-09;-8.1;1;68;;3                                                                                                                                                                                                                                                              
(2015 FU344)         ; 2015;Mar; 16;5;50;1;10;7.00E-06;-8.3;0;2.8;;3                                                                                                                                                                                                                                                              
(2015 GB1)           ; 2015;Apr; 13;14;27;6;7.7;6.10E-06;-6.5;0;19.5;;3                                                                                                                                                                                                                                                              
(2015 HD1)           ; 2015;Apr; 21;8;17;0.1;16;4.90E-08;-8.5;0;14.4;;3                                                                                                                                                                                                                                                              
(2015 HE1)           ; 2015;Apr; 21;4;34;3.3;14.4;1.40E-07;-7.9;0;21.5;;3                                                                                                                                                                                                                                                              
(2015 HE183)         ; 2015;Apr; 20;5;13;2;13.8;6.00E-06;-7.3;0;10.2;;3                                                                                                                                                                                                                                                              
(2015 KG158)         ; 2015;May; 15;1;54;2.2;7.9;0.00024 ;-5.4;0;9.4;;3                                                                                                                                                                                                                                                              
(2015 KH160)         ; 2015;May; 23;9;3;1.7;29.6;3.50E-08;-8;0;22.5;;3                                                                                                                                                                                                                                                              
(2015 MN11)          ; 2015;Jun; 24;23;15;12.5;21.9;5.10E-07;-5.9;1;51.5;;3                                                                                                                                                                                                                                                              
(2015 PS228)         ; 2015;Jul; 31;18;32;2.4;2.9;1.40E-06;-8.2;0;7.3;;3                                                                                                                                                                                                                                                              
(2015 QS8)           ; 2015;Aug; 22;14;44;5;7.8;4.20E-06;-6.5;0;17.5;;3                                                                                                                                                                                                                                                              
(2015 RD36)          ; 2015;Aug; 31;18;20;69;30.3;2.00E-08;-6.1;2;137;;3                                                                                                                                                                                                                                                              
(2015 RN35)          ; 2015;Sep; 27;1;1;60.8;10.7;4.00E-07;-6.2;1;102;;3                                                                                                                                                                                                                                                              
(2015 RU178)         ; 2015;Sep; 09;4;46;1.4;18.4;0.96    ;-10.1;0;11.7;;3                                                                                                                                                                                                                                                              
(2015 SK7)           ; 2015;Sep; 22;21;44;0.1;13.7;9.20E-07;-8.3;0;7.2;;3                                                                                                                                                                                                                                                              
(2015 TC25)          ; 2015;Oct; 13;7;32;0.3;4.4;8.20E-07;-8.7;0;5.4;;3                                                                                                                                                                                                                                                              
(2015 TG24)          ; 2015;Oct; 12;8;6;4;9.6;1.60E-05;-6.8;0;19.5;;3                                                                                                                                                                                                                                                              
(2015 TL21)          ; 2015;Oct; 06;2;42;5.9;15.5;4.00E-06;-6.7;0;20.5;;3                                                                                                                                                                                                                                                              
(2015 UH52)          ; 2015;Oct; 20;22;45;6.2;10.8;1.20E-06;-6.9;0;27.5;;3                                                                                                                                                                                                                                                              
(2015 UR67)          ; 2015;Oct; 27;10;11;4.4;12.3;3.70E-06;-6.2;0;24;;3                                                                                                                                                                                                                                                              
(2015 VD105)         ; 2015;Nov; 16;23;50;7.2;12.7;1.40E-09;-8.9;1;51.5;;3                                                                                                                                                                                                                                                              
(2015 VK1)           ; 2015;Oct; 31;5;36;1.8;14.6;7.70E-07;-7.1;0;20.5;;3                                                                                                                                                                                                                                                              
(2015 VL64)          ; 2015;Nov; 03;14;48;2.1;8.6;3.00E-06;-8;0;9.4;;3                                                                                                                                                                                                                                                              
(2015 VN64)          ; 2015;Nov; 03;17;40;1.6;15.8;6.20E-07;-7.7;0;13.7;;3                                                                                                                                                                                                                                                              
(2015 VO142)         ; 2015;Nov; 24;2;23;1;3.1;6.40E-06;-7.7;0;6.8;;3                                                                                                                                                                                                                                                              
(2015 VP64)          ; 2015;Nov; 05;9;15;0.7;20.4;3.50E-06;-6.9;0;9.4;;3                                                                                                                                                                                                                                                              
(2015 WN1)           ; 2015;Nov; 13;18;51;4.8;9.3;7.80E-05;-5.8;0;21.5;;3                                                                                                                                                                                                                                                              
(2015 WP2)           ; 2015;Nov; 20;1;43;0.6;12.8;7.60E-05;-7.1;0;4.1;;3                                                                                                                                                                                                                                                              
(2015 XA378)         ; 2015;Dec; 19;19;16;10;17.2;4.90E-05;-4.8;1;28.5;;3                                                                                                                                                                                                                                                              
(2015 XH55)          ; 2015;Nov; 29;2;37;3;7.1;8.20E-07;-8.6;0;6;;3                                                                                                                                                                                                                                                              
(2015 XP)            ; 2015;Dec; 05;13;44;1.4;8.1;1.10E-06;-6.5;0;29.5;;3                                                                                                                                                                                                                                                              
(2015 XQ129)         ; 2015;Nov; 16;16;26;9.4;17.7;0.43    ;-9.1;1;54;;3                                                                                                                                                                                                                                                              
(2015 XR169)         ; 2015;Dec; 13;16;35;1.3;9.5;8.10E-05;-6.6;0;7.9;;3                                                                                                                                                                                                                                                              
(2015 YJ)            ; 2015;Dec; 13;21;18;0.2;16.7;0.0016  ;-4.4;0;10.1;;3                                                                                                                                                                                                                                                              
(2015 YM1)           ; 2015;Dec; 15;22;29;1.9;6.9;6.90E-06;-7.2;0;8.8;;3                                                                                                                                                                                                                                                              
(2016 AF2)           ; 2015;Dec; 26;5;42;2.9;5.9;2.60E-07;-8.2;0;11.5;;3                                                                                                                                                                                                                                                              
(2016 AU193)         ; 2015;Dec; 31;8;59;8.2;21.9;9.40E-08;-7.2;1;37.5;;3                                                                                                                                                                                                                                                              
(2016 JA)            ; 2015;May; 18;1;50;66.5;4.9;1.00E-06;-7.9;0;13;;3                                                                                                                                                                                                                                                              
(2016 JA)            ; 2015;Mar; 15;6;11;66.9;5.4;1.00E-06;-7.9;0;13;;3                                                                                                                                                                                                                                                              
(2016 JB18)          ; 2015;Dec; 18;6;1;55.9;1.4;6.90E-05;-5.8;0;15.1;;3                                                                                                                                                                                                                                                              
(2016 TH)            ; 2015;Oct; 02;1;1;25.4;9.4;9.30E-06;-7.6;0;5.7;;3                                                                                                                                                                                                                                                              
(2016 WU)            ; 2015;Jul; 12;12;49;71.8;5;2.60E-06;-7.1;0;15.1;;3                                                                                                                                                                                                                                                              
(2016 WU)            ; 2015;Apr; 22;16;44;76;4.8;2.60E-06;-7.1;0;15.1;;3                                                                                                                                                                                                                                                              
(2017 FW90)          ; 2015;Nov; 22;18;15;39.1;3.4;7.40E-06;-7.4;0;10.1;;3                                                                                                                                                                                                                                                              
(2017 FW90)          ; 2015;Aug; 29;10;53;46;2.7;7.40E-06;-7.4;0;10.1;;3                                                                                                                                                                                                                                                              
410777 (2009 FD)     ; 2015;Oct; 29;10;15;16.3;16.9;0.0016  ;-1.8;2;165;;3                                                                                                                                                                                                                                                              
