objectId,date,distance,velocity,diameter,impactProbability,hazardScale,impactDamage,name
(2014 BZ2)2044-09-13T12:15:00.000Z,2044-09-13T12:15:00.000Z,32.75,20.3,34,7.20E-09,-8.4,1,(2014 BZ2)
(2014 BZ2)2014-01-24T11:48:00.000Z,2014-01-24T11:48:00.000Z,5.96,17.3,34,7.20E-09,-8.4,1,(2014 BZ2)
(2014 FX32)2075-12-15T20:37:00.000Z,2075-12-15T20:37:00.000Z,52.3,12.5,43,0.0000011,-6.2,1,(2014 FX32)
(2014 FX32)2064-03-22T09:45:00.000Z,2064-03-22T09:45:00.000Z,28.15,11.2,43,0.0000011,-6.2,1,(2014 FX32)
(2014 FX32)2045-01-04T18:54:00.000Z,2045-01-04T18:54:00.000Z,24.73,8.3,43,0.0000011,-6.2,1,(2014 FX32)
(2014 FX32)2014-03-08T20:39:00.000Z,2014-03-08T20:39:00.000Z,5.88,8.7,43,0.0000011,-6.2,1,(2014 FX32)
(2014 FX32)2002-03-31T20:42:00.000Z,2002-03-31T20:42:00.000Z,70.35,14.6,43,0.0000011,-6.2,1,(2014 FX32)
(2014 FX32)1970-12-15T22:17:00.000Z,1970-12-15T22:17:00.000Z,47.37,12.1,43,0.0000011,-6.2,1,(2014 FX32)
(2014 FX32)1959-01-28T08:54:00.000Z,1959-01-28T08:54:00.000Z,29.53,7.8,43,0.0000011,-6.2,1,(2014 FX32)
(2014 FX32)1947-03-21T13:21:00.000Z,1947-03-21T13:21:00.000Z,22.44,10.9,43,0.0000011,-6.2,1,(2014 FX32)
(2014 GN1)2014-04-06T08:25:00.000Z,2014-04-06T08:25:00.000Z,2.44,20.7,51.5,0.000021,-4.2,1,(2014 GN1)
(2014 GY44)2062-03-30T14:44:00.000Z,2062-03-30T14:44:00.000Z,4.19,12.6,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)2049-04-05T05:28:00.000Z,2049-04-05T05:28:00.000Z,48.41,15.8,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)2043-09-29T21:13:00.000Z,2043-09-29T21:13:00.000Z,35.7,14.8,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)2030-10-05T14:31:00.000Z,2030-10-05T14:31:00.000Z,9.92,11.7,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)2014-03-29T23:27:00.000Z,2014-03-29T23:27:00.000Z,0.44,12.5,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)2004-09-28T20:37:00.000Z,2004-09-28T20:37:00.000Z,57.5,16.3,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)1993-04-07T19:08:00.000Z,1993-04-07T19:08:00.000Z,68.96,17.2,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)1983-10-08T16:22:00.000Z,1983-10-08T16:22:00.000Z,15.46,11.3,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 GY44)1976-03-29T04:07:00.000Z,1976-03-29T04:07:00.000Z,1.19,12.3,35.5,0.0000017,-6.3,1,(2014 GY44)
(2014 HC196)2014-03-16T21:19:00.000Z,2014-03-16T21:19:00.000Z,41.29,6.5,35.5,0.2,-10.1,1,(2014 HC196)
(2014 HE199)2014-04-02T21:47:00.000Z,2014-04-02T21:47:00.000Z,11.9,12,39,2.40E-08,-7.2,1,(2014 HE199)
(2014 JU15)2110-04-28T17:40:00.000Z,2110-04-28T17:40:00.000Z,5.39,10.7,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2105-04-27T21:28:00.000Z,2105-04-27T21:28:00.000Z,74.8,16.3,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2102-06-11T12:35:00.000Z,2102-06-11T12:35:00.000Z,53.63,12.3,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2097-05-20T01:22:00.000Z,2097-05-20T01:22:00.000Z,32.29,9.2,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2092-04-26T19:42:00.000Z,2092-04-26T19:42:00.000Z,7.64,10.9,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2084-06-07T07:48:00.000Z,2084-06-07T07:48:00.000Z,42.99,10.8,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2079-05-08T04:51:00.000Z,2079-05-08T04:51:00.000Z,21.36,9.3,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2074-04-25T21:59:00.000Z,2074-04-25T21:59:00.000Z,50.55,14.3,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2071-06-11T02:29:00.000Z,2071-06-11T02:29:00.000Z,64.15,13.6,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2066-05-24T06:43:00.000Z,2066-05-24T06:43:00.000Z,33.84,9.3,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2061-04-26T18:00:00.000Z,2061-04-26T18:00:00.000Z,10.07,11.1,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2053-05-31T20:55:00.000Z,2053-05-31T20:55:00.000Z,36.63,9.7,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2048-04-27T03:37:00.000Z,2048-04-27T03:37:00.000Z,5.53,10.7,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2040-05-19T09:22:00.000Z,2040-05-19T09:22:00.000Z,31.27,9.2,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2035-04-25T23:10:00.000Z,2035-04-25T23:10:00.000Z,52.95,14.5,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2032-06-08T14:19:00.000Z,2032-06-08T14:19:00.000Z,49.36,11.8,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2027-05-02T04:56:00.000Z,2027-05-02T04:56:00.000Z,10.34,9.7,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2019-06-04T18:30:00.000Z,2019-06-04T18:30:00.000Z,38.82,10.2,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2014-04-28T19:50:00.000Z,2014-04-28T19:50:00.000Z,1.19,10.4,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2009-04-25T05:46:00.000Z,2009-04-25T05:46:00.000Z,29.59,12.6,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2004-04-26T00:03:00.000Z,2004-04-26T00:03:00.000Z,68.69,15.8,47,0.000056,-5.2,1,(2014 JU15)
(2014 JU15)2001-06-11T00:15:00.000Z,2001-06-11T00:15:00.000Z,72.32,14.5,47,0.000056,-5.2,1,(2014 JU15)
